,hull,cluster,primaryStreet,secondaryStreet,primaryFacilityType,secondaryFacilityType,primaryStreetSegId,secondaryStreetSegId,totalAccidents,clusterArea,shape
0,<scipy.spatial.qhull.ConvexHull object at 0x12ebf9250>,0,1ST,1ST,Cycle Track,Cycle Track,297.0,7950.0,8,0.26306000000323887,"[[-77.005921, 38.904688], [-77.006293, 38.903731], [-77.00588499999998, 38.903721], [-77.005749, 38.903733], [-77.005921, 38.904688]]"
1,<scipy.spatial.qhull.ConvexHull object at 0x12eb0e190>,1,29TH,PENNSYLVANIA,None,None,None,None,12,0.043717500001548254,"[[-77.058109, 38.905238], [-77.058105, 38.905091], [-77.057512, 38.905071], [-77.057653, 38.905111], [-77.05769599999998, 38.905123], [-77.058109, 38.905238]]"
2,<scipy.spatial.qhull.ConvexHull object at 0x12ebf9990>,2,GEORGIA,None,Bus/Bike Lane,None,10152.0,None,6,0.12981849999852707,"[[-77.02131700000002, 38.920461], [-77.02205699999998, 38.920963], [-77.022013, 38.920641], [-77.02201, 38.920621], [-77.022003, 38.920576], [-77.02131700000002, 38.920461]]"
3,<scipy.spatial.qhull.ConvexHull object at 0x12ebf9f90>,3,14TH,14TH,Existing Bike Lane,Existing Bike Lane,8575.0,9137.0,21,0.5876744999953928,"[[-77.031735, 38.91557], [-77.031951, 38.917445], [-77.032106, 38.916997], [-77.032287, 38.915572], [-77.03195600000002, 38.915569], [-77.031735, 38.91557]]"
4,<scipy.spatial.qhull.ConvexHull object at 0x12ebf9050>,10,7TH,GEORGIA,Existing Bike Lane,Bus/Bike Lane,2329.0,12158.0,8,0.19644599999830514,"[[-77.02173, 38.915736], [-77.021668, 38.916164], [-77.021715, 38.916215], [-77.022205, 38.91645], [-77.021916, 38.915739], [-77.02173, 38.915736]]"
5,<scipy.spatial.qhull.ConvexHull object at 0x12ec0d550>,4,16TH,U,None,None,None,None,9,0.09387800000116553,"[[-77.03657700000002, 38.91723], [-77.037315, 38.917003], [-77.037037, 38.917002], [-77.036925, 38.917002], [-77.03649200000002, 38.917003], [-77.03657700000002, 38.91723]]"
6,<scipy.spatial.qhull.ConvexHull object at 0x12ebf9350>,5,7TH,K,Existing Bike Lane,None,12493.0,None,8,0.013003999998107323,"[[-77.021955, 38.901844], [-77.021916, 38.901479], [-77.021915, 38.902116], [-77.02192, 38.902102], [-77.021955, 38.901844]]"
7,<scipy.spatial.qhull.ConvexHull object at 0x12ebf9a90>,9,PENNSYLVANIA,15TH,Cycle Track,Cycle Track,1067.0,4434.0,6,0.10999199999802133,"[[-77.033649, 38.896403], [-77.03375, 38.895477], [-77.03364499999998, 38.895479], [-77.033512, 38.895495], [-77.033649, 38.896403]]"
8,<scipy.spatial.qhull.ConvexHull object at 0x12ebf9c90>,6,LOGAN,LOGAN,None,None,None,None,6,0.04443899999688539,"[[-77.029399, 38.910165], [-77.02890699999998, 38.909627], [-77.029114, 38.910034], [-77.029399, 38.910165]]"
9,<scipy.spatial.qhull.ConvexHull object at 0x12ebf9d10>,8,2ND,D,None,None,None,None,7,0.141216000002828,"[[-77.003635, 38.895326], [-77.003551, 38.894736], [-77.003281, 38.894788], [-77.003509, 38.89547], [-77.003635, 38.895326]]"
10,<scipy.spatial.qhull.ConvexHull object at 0x12ebf9f10>,7,R,NORTH CAPITOL,Shared Lane,None,12634.0,None,7,0.11651149999964405,"[[-77.009049, 38.912387], [-77.008607, 38.912341], [-77.008108, 38.912589], [-77.00858199999998, 38.912594], [-77.009049, 38.912387]]"
11,<scipy.spatial.qhull.ConvexHull object at 0x12ebf9e90>,11,PENNSYLVANIA,PENNSYLVANIA,Cycle Track,None,1681.0,None,6,0.08318499999793645,"[[-77.02964, 38.896126], [-77.029732, 38.8961], [-77.029634, 38.895663], [-77.02958199999998, 38.895433], [-77.029514, 38.895414], [-77.029433, 38.895392], [-77.02964, 38.896126]]"
12,<scipy.spatial.qhull.ConvexHull object at 0x12ebf9450>,12,18TH,None,Shared Lane,None,11932.0,None,7,0.10858050000087481,"[[-77.042823, 38.922004], [-77.042263, 38.921315], [-77.042203, 38.92152], [-77.042404, 38.921741], [-77.04275799999998, 38.922014], [-77.042823, 38.922004]]"
