,TOTAL_BICYCLES,TOTAL_VEHICLES,TOTAL_PEDESTRIANS,LATITUDE,LONGITUDE,XCOORD,YCOORD,FATAL_BICYCLIST,MPDLATITUDE,MPDLONGITUDE,FROMDATE,STREETSEGID,ROUTEID,NEARESTINTSTREETNAME,NEARESTINTROUTEID,OFFINTERSECTION
23,1,1,0,38.902682,-77.01990699999999,398273.274,137203.18099999998,0,38.902682,-77.019929,2017-04-20 04:00:00+00:00,6079.0,11000602,K ST NW,11050892,17.923228299999998
39,1,1,0,38.894341,-77.025987,397745.605,136277.378,0,38.894338,-77.02601999999999,2018-09-24 04:00:00+00:00,7790.0,11001002,PENNSYLVANIA AVE NW,11069812,11.8524203
250,1,1,0,38.923269,-77.056313,395116.81799999997,139489.866,0,38.923214,-77.056145,2019-11-05 05:00:00+00:00,,11020022,CALVERT ST NW,11020022,9.67
261,1,1,0,38.899392999999996,-77.031952,397228.335,136838.36800000002,0,38.899392999999996,-77.031952,2017-04-22 04:00:00+00:00,732.0,11001402,NEW YORK AVE NW,11064672,0.036918400000000004
415,1,1,0,38.948325,-77.02694699999999,397665.32,142262.44,0,38.948325,-77.02694699999999,2018-09-24 04:00:00+00:00,2398.0,11028212,GEORGIA AVE NW,11040042,7.7890417
472,1,1,0,38.884105,-76.98768299999999,401068.662,135140.832,0,38.884116999999996,-76.98768299999999,2017-12-19 05:00:00+00:00,6061.0,13026912,13TH ST SE,13001302,54.568909600000005
500,1,1,0,38.903703,-77.001987,399822.82,137319.41,0,38.903703,-77.001987,2018-09-26 04:00:00+00:00,6560.0,12000302,L ST NE,12053492,5.708205599999999
512,1,1,0,38.934883,-77.02131899999999,398151.62,140777.769,0,38.934835,-77.021298,2018-09-26 04:00:00+00:00,2231.0,11067992,WARDER ST NW,11090872,23.9987905
656,1,2,0,38.930344,-77.033049,397134.43799999997,140274.204,0,38.93142,-77.03295,2018-09-26 04:00:00+00:00,8555.0,11068902,14TH ST NW,11001402,133.1654694
693,1,1,0,38.934626,-77.032733,397162.02,140749.53,0,38.935856,-77.032718,2019-02-28 05:00:00+00:00,7452.0,11001402,14TH ST NW,11001402,29.32
