,TOTAL_BICYCLES,TOTAL_VEHICLES,TOTAL_PEDESTRIANS,LATITUDE,LONGITUDE,XCOORD,YCOORD,FATAL_BICYCLIST,MPDLATITUDE,MPDLONGITUDE,FROMDATE,NEARESTINTSTREETNAME,NEARESTINTROUTEID,OFFINTERSECTION
15,1,1,0,38.971470000000004,-77.024478,397878.852,144839.354,0,38.972235999999995,-77.023671,2018-09-20 04:00:00+00:00,8TH ST NW,11000802,99.39387959999999
60,1,1,0,38.90939,-77.042716,396295.124,137948.49800000002,1,38.909894,-77.04415300000001,2018-09-21 04:00:00+00:00,MASSACHUSETTS AVE NW,11059602,1.3793585
127,1,1,0,38.899698,-77.009065,399213.652,136871.758,0,38.90033,-77.00914,2019-11-15 05:00:00+00:00,NORTH CAPITOL ST BN & H ST NW,11042442,15.1
198,1,1,0,38.907249,-77.043423,396233.703,137710.247,0,38.907249,-77.043423,2017-04-16 04:00:00+00:00,19TH ST NW,11001902,1.9689375
307,1,1,0,38.916884,-77.026942,397655.20200000005,138779.928,0,38.916884,-77.026942,2017-04-02 04:00:00+00:00,U ST NW,11087232,15.2080726
416,1,1,1,38.894787,-77.007177,399377.394,136326.63,0,38.894787,-77.007177,2017-04-17 04:00:00+00:00,DELAWARE AVE NE,12028662,0.012930700000000002
452,1,1,0,38.881561,-77.02815600000001,397556.987,134858.795,0,38.883278999999995,-77.03196700000001,2019-08-23 04:00:00+00:00,MAINE AVE SW,14058502,10.81
552,1,1,0,38.912107,-77.012303,398936.177,138255.399,0,38.912107,-77.012303,2017-04-04 04:00:00+00:00,1ST ST NW,11000102,12.7130044
596,1,1,0,38.904879,-77.01618,398596.56,137447.01,0,38.904676,-77.016108,2018-06-08 04:00:00+00:00,NEW YORK AVE NW,11064672,23.366204800000002
624,1,1,0,38.876872,-77.004305,399626.44899999996,134337.836,0,38.876357,-77.004137,2018-09-06 04:00:00+00:00,M ST SE 1,13057852,13.9219609
762,1,1,0,38.943394,-77.01986600000001,398277.83700000006,141722.5,0,38.944224,-77.01863900000001,2018-09-10 04:00:00+00:00,NEW HAMPSHIRE AVE NW,11064222,72.5623192
822,1,1,0,38.912214,-77.012394,398925.11600000004,138261.223,0,38.912279,-77.01235,2017-04-07 04:00:00+00:00,1ST ST NW,11000102,24.6066311
1074,1,1,0,38.905172,-77.06303199999999,394532.74799999996,137481.255,0,38.905275,-77.062983,2018-09-16 04:00:00+00:00,WISCONSIN AVE NW,11094052,18.4551903
1148,1,1,0,38.890934,-76.993187,400591.061,135898.869,0,38.890892,-76.993185,2018-03-15 04:00:00+00:00,MASSACHUSETTS AVE NE,12059602,14.130165300000002
1197,1,1,0,38.956277,-77.00952099999999,399174.72,143152.486,0,38.956258,-77.00948000000001,2017-04-08 04:00:00+00:00,KENNEDY ST NW,11052062,39.6600071
1202,1,1,0,38.915301,-77.012155,398945.816,138603.86800000002,0,38.915301,-77.012132,2017-04-07 04:00:00+00:00,T ST NW,11084562,25.2750953
1210,1,1,0,38.928179,-76.979,401820.896,140033.581,0,38.927653,-76.979074,2019-09-27 04:00:00+00:00,RHODE ISLAND AVE NE,12075462,2.0
1220,1,1,0,38.908761,-76.985456,401265.027,137876.386,0,38.908761,-76.985456,2017-04-15 04:00:00+00:00,RAUM ST NE,12074752,5.3962194000000006
1399,1,1,0,38.905664,-77.041125,396432.905,137534.8,0,38.905664,-77.041125,2017-01-04 05:00:00+00:00,M ST NW,11057852,0.0677963
1500,1,1,0,38.927775,-77.032549,397177.68100000004,139989.00400000002,0,38.927766,-77.032677,2017-04-11 04:00:00+00:00,COLUMBIA RD NW,11024632,28.8547666
1664,1,1,0,38.905122999999996,-77.05769599999999,394995.566,137475.506,0,38.904957,-77.057772,2019-10-14 04:00:00+00:00,29TH ST NW,11002902,32.12
1805,1,1,0,38.961062,-77.00933,399191.36,143683.74,0,38.962294,-77.01071999999999,2019-11-15 05:00:00+00:00,BLAIR RD NW & KANSAS AVE NW,11016382,7.02
1810,1,1,0,38.892131,-77.031439,397272.527,136027.434,0,38.892131,-77.031439,2017-04-16 04:00:00+00:00,14TH ST NW,11001402,45.724453499999996
1999,1,1,0,38.896675,-76.95121800000001,404231.73299999995,136537.293,0,38.896741,-76.951305,2017-04-12 04:00:00+00:00,FOOTE ST NE,12036792,157.22536499999998
2037,1,1,0,38.924755,-77.029634,397430.33200000005,139653.745,0,38.924741,-77.029634,2017-04-10 04:00:00+00:00,13TH ST NW,11001302,6.8936039000000005
2103,1,1,0,38.904951000000004,-77.014607,398733.06,137455.011,0,38.90497,-77.014524,2017-04-13 04:00:00+00:00,PIERCE ST NW,11070262,32.780317499999995
2358,1,1,0,38.932859,-77.021814,398103.87,140552.532,0,38.932859,-77.021814,2017-04-15 04:00:00+00:00,PARK RD NW,11068902,16.4539505
2523,1,2,0,38.934298,-77.02405300000001,397919.88899999997,140713.532,0,38.934298,-77.02405300000001,2017-04-15 04:00:00+00:00,OTIS PL NW,11067992,14.824211499999999
2535,1,1,0,38.904462,-77.045762,396030.646,137401.557,0,38.903921000000004,-77.046596,2018-09-19 04:00:00+00:00,20TH ST NW,11002002,151.4970953
2598,1,1,0,38.908991,-77.045375,396064.465,137904.342,0,38.909616,-77.044901,2018-09-23 04:00:00+00:00,HOPKINS ST NW,11046472,84.43551190000001
2694,1,1,0,38.892114,-77.028137,397558.994,136030.223,1,38.892114,-77.028164,2018-09-24 04:00:00+00:00,12TH EXPY NW,11001242,3.9246977999999997
2731,1,1,0,38.924440000000004,-77.067224,394170.72,139620.43,0,38.924302000000004,-77.06728299999999,2018-09-25 04:00:00+00:00,OBSERVATORY CIR NW,11066432,16.0916068
2787,1,1,0,38.915572999999995,-77.026803,397675.479,138634.311,0,38.915409000000004,-77.026804,2017-04-22 04:00:00+00:00,11TH ST NW,11001102,27.1533011
2806,1,1,0,38.884105,-76.98768299999999,401068.662,135140.832,0,38.884116999999996,-76.98768299999999,2017-12-19 05:00:00+00:00,13TH ST SE,13001302,54.568909600000005
2899,1,1,0,38.912609,-77.021918,398099.1,138305.18,0,38.912609,-77.021918,2017-04-23 04:00:00+00:00,7TH ST NW,11000702,0.05
2907,1,1,0,38.897096000000005,-77.046664,395952.037,136583.927,0,38.897096000000005,-77.04665200000001,2018-09-26 04:00:00+00:00,F ST NW,11034382,28.597169899999997
3113,1,1,0,38.948325,-77.02694699999999,397665.32,142262.44,0,38.948325,-77.02694699999999,2018-09-24 04:00:00+00:00,GEORGIA AVE NW,11040042,7.7890417
3335,1,1,0,38.899392999999996,-77.031952,397228.335,136838.36800000002,0,38.899392999999996,-77.031952,2017-04-22 04:00:00+00:00,NEW YORK AVE NW,11064672,0.036918400000000004
3365,1,1,0,38.934626,-77.032733,397162.02,140749.53,0,38.935856,-77.032718,2019-02-28 05:00:00+00:00,14TH ST NW,11001402,29.32
3480,1,1,0,38.907913,-77.034564,397002.12200000003,137784.241,0,38.907913,-77.03454,2017-12-19 05:00:00+00:00,RHODE ISLAND AVE NW,11075462,3.1086031000000003
3545,1,1,0,38.918037,-77.02469599999999,397858.32700000005,138907.845,0,38.918012,-77.024649,2017-04-23 04:00:00+00:00,V ST NW,11088462,10.8734316
3552,1,1,0,38.903703,-77.001987,399822.82,137319.41,0,38.903703,-77.001987,2018-09-26 04:00:00+00:00,L ST NE,12053492,5.708205599999999
3564,1,1,0,38.934883,-77.02131899999999,398151.62,140777.769,0,38.934835,-77.021298,2018-09-26 04:00:00+00:00,WARDER ST NW,11090872,23.9987905
3675,1,1,0,38.921076,-77.041823,396373.18,139245.747,0,38.920982,-77.04219300000001,2018-09-27 04:00:00+00:00,18TH ST NW,11001802,6.5065982
4163,1,1,0,38.91207,-77.012048,398955.096,138245.245,0,38.912189,-77.011965,2017-04-28 04:00:00+00:00,1ST ST NW,11000102,18.485821100000003
4238,1,1,0,38.911128000000005,-77.042108,396347.95200000005,138141.376,0,38.911118,-77.042108,2017-04-27 04:00:00+00:00,NEW HAMPSHIRE AVE NW,11064222,5.0933234
4241,1,1,0,38.910133,-76.997812,400189.777,138030.06900000002,0,38.910967,-76.99825600000001,2019-10-15 04:00:00+00:00,NEW YORK AVE NE,12064672,11.07
4285,1,1,0,38.909638,-77.043438,396232.50299999997,137976.022,0,38.909402,-77.04266199999999,2017-04-26 04:00:00+00:00,DUPONT CIR NW,11031202,52.95728979999999
4360,1,1,0,38.898247,-77.01425,398763.835,136710.781,0,38.898247,-77.014289,2017-04-27 04:00:00+00:00,MASSACHUSETTS AVE NW,11059602,138.8481309
4525,1,1,0,38.908793,-76.982359,401530.071,137881.52800000002,0,38.908772,-76.98231,2017-04-27 04:00:00+00:00,MOUNT OLIVET RD NE,12062462,26.658365500000002
4535,1,1,0,38.912634999999995,-77.013376,398839.888,138307.918,0,38.912628999999995,-77.013312,2017-04-27 04:00:00+00:00,R ST NW,11074162,20.6029285
4636,1,1,0,38.923124,-76.990195,400850.223,139472.241,0,38.923124,-76.990195,2018-10-02 04:00:00+00:00,RHODE ISLAND AVE NE,12075462,0.067044
4681,1,1,0,38.903739,-77.037291,396765.406,137320.992,0,38.903721999999995,-77.036602,2018-10-02 04:00:00+00:00,L ST NW,11053492,5.82
4791,1,1,0,38.903915999999995,-77.018928,398358.167,137340.16,0,38.903915999999995,-77.018928,2018-10-04 04:00:00+00:00,NEW YORK AVE NW,11064672,0.038174099999999996
4821,1,1,0,38.94187,-77.034255,397030.36100000003,141553.79,0,38.9423,-77.034228,2018-06-12 04:00:00+00:00,ARKANSAS AVE NW,11011052,53.8659856
4884,1,1,0,38.919818,-77.00057,399950.566,139105.239,0,38.919818,-77.00059300000001,2017-04-30 04:00:00+00:00,RHODE ISLAND AVE NE,12075462,7.314673299999999
4968,1,1,0,38.905091999999996,-77.058105,394960.10799999995,137472.075,0,38.905089000000004,-77.058251,2017-04-29 04:00:00+00:00,M ST NW,11057852,20.570498899999997
5013,1,1,0,38.919273,-77.0365,396834.74100000004,139045.34699999998,0,38.919273,-77.03649399999999,2017-05-02 04:00:00+00:00,FLORIDA AVE NW,11036722,14.165932399999999
5165,1,1,0,38.915988,-77.029329,397456.49700000003,138680.522,0,38.916033,-77.029328,2018-10-05 04:00:00+00:00,13TH ST NW,11001302,26.2121846
5171,1,1,0,38.896232,-77.03246800000001,397183.44,136487.49,0,38.896111,-77.032025,2018-10-05 04:00:00+00:00,14TH ST NW,11001402,5.5304965
5222,1,1,0,38.899206,-77.027035,397654.84,136817.471,0,38.899206,-77.027034,2017-05-01 04:00:00+00:00,H ST NW,11042442,67.7628891
5239,1,1,0,38.921983000000004,-77.03263299999999,397170.138,139346.033,0,38.923398999999996,-77.032146,2018-10-09 04:00:00+00:00,CHAPIN ST NW 1,11022032,202.08391709999998
5258,1,1,0,38.911345000000004,-77.042876,396281.395,138165.475,0,38.911165999999994,-77.043019,2017-05-04 04:00:00+00:00,Q ST NW 1,11072862,13.665479500000002
5263,1,1,0,38.908742,-77.04771600000001,395861.44299999997,137876.764,0,38.908475,-77.049308,2018-06-13 04:00:00+00:00,O ST NW 1,11065842,138.5814439
5317,1,1,0,38.9002,-76.987539,401080.89700000006,136927.505,0,38.900171,-76.987771,2017-05-04 04:00:00+00:00,H ST NE,12042442,46.73
5331,1,1,0,38.95476,-77.009046,399215.88700000005,142984.12300000002,0,38.95476,-77.009078,2017-04-05 04:00:00+00:00,MISSOURI AVE NW,11061362,6.734304799999999
5342,1,1,0,38.933440000000004,-76.99979499999999,400017.749,140617.428,0,38.940695,-76.996687,2018-10-07 04:00:00+00:00,,,-999.0
5563,1,1,0,38.90374,-77.05141400000001,395540.4,137321.69,0,38.90374,-77.05141400000001,2017-05-11 04:00:00+00:00,L ST NW,11053492,0.0155067
5774,1,1,0,38.915667,-77.020489,398223.105,138644.583,0,38.915803000000004,-77.020394,2018-10-09 04:00:00+00:00,T ST NW,11084562,24.012740899999997
5789,1,1,0,38.910055,-77.033292,397112.511,138021.99599999998,0,38.909603999999995,-77.033355,2018-04-23 04:00:00+00:00,14TH ST NW 1,11001402,131.48781129999998
5956,1,1,0,38.889527,-76.993759,400541.44,135742.696,0,38.889526000000004,-76.993566,2018-08-23 04:00:00+00:00,9TH ST NE,12000902,35.0156304
5984,1,1,0,38.900774,-77.030341,397368.094,136991.573,0,38.901301000000004,-77.02974300000001,2018-10-10 04:00:00+00:00,NEW YORK AVE NW,11064672,139.0518272
5996,1,1,0,38.883993,-77.009253,399197.154,135128.437,0,38.884035,-77.009203,2018-04-11 04:00:00+00:00,CANAL ST SE,13020282,22.983386499999998
6066,1,1,0,38.962701,-77.02691,397667.76200000005,143865.97699999998,0,38.9626,-77.02691,2017-05-08 04:00:00+00:00,9TH ST NW,11000902,82.5098277
6186,1,1,0,38.930813,-76.972545,402380.56700000004,140326.11,0,38.930721000000005,-76.972471,2018-03-18 04:00:00+00:00,24TH ST NE,12002402,41.3247817
6429,1,1,0,38.961014,-77.028031,397570.585,143678.73,0,38.961019,-77.028099,2018-10-13 04:00:00+00:00,GEORGIA AVE NW,11040042,5.94
6456,1,1,0,38.928739,-77.01384,398799.97,140095.65,0,38.930076,-77.016489,2018-05-23 04:00:00+00:00,,,-999.0
