OBJECTID,FACILITYID,STREETSEGID,SOURCEID,BIKELANELENGTH,FACILITY,PROPOSEDCYCLETRACK,Shape_Length,TRAVELDIRECTION,NOTES,BIKELANE_YEAR,PLANSREADY,GAP,GAP_NOTES,NEED_SYMBOL,NEED_SYM_1,REPAINT_LINE,YEAR_INSTALLED
1,SEGID- 9854,9854,15135550,0.00945537,Existing Bike Lane, ,15.2168459607592, , ,0, , , ,,,,2008
2,SEGID- 10198,10198,15135555,0.07675447,Existing Bike Lane, ,123.524975756623, ,"COG 95, 1975 plan, public input",0, , , ,,,,2008
3,SEGID- 9167,9167,15135560,0.05860958,Existing Bike Lane, ,94.3228948755073, ,"COG 95, 1975 plan, public input",0, , , ,,,,2008
4,SEGID- 12337,12337,15135565,0.02689091,Existing Bike Lane, ,43.2764706355922, ,"COG 95, 1975 plan, public input",0, , , ,,,,2008
5,SEGID- 10611,10611,15135580,0.17238453,Existing Bike Lane, ,277.425702030095, ,"COG 95, 1975 plan, public input",0, , , ,,,,2008
6,SEGID- 5894,5894,15135595,0.02697727,Shared Lane, ,43.415777840727, ,"COG 95, public input",0, , , ,,,,2008
7,SEGID- 11907,11907,15135600,0.16455645,Shared Lane, ,264.828699593446, ,"COG 95, 1975 plan, public input",0, , , ,,,,2008
8,SEGID- 5906,5906,20040000,0.07791571,Existing Bike Lane, ,125.393452802124,In Bound,"Sebastian planned lanes, 1975 plan",0, , , ,,,,2005
9,SEGID- 6848,6848,20040010,0.07428582,Existing Bike Lane, ,119.551661260482,In Bound,"Sebastian planned lanes, 1975 plan",0, , , ,,,,2005
10,SEGID- 10,10,30040040,0.07229049,Existing Bike Lane, ,116.340502193365,Out Bound,1975 plan,0, , , ,,,,1980
11,SEGID- 769,769,30040050,0.03577264,Existing Bike Lane, ,57.5705804113017,Out Bound,1975 plan,0, , , ,,,,1980
12,SEGID- 1324,1324,30040055,0.09873575,Existing Bike Lane, ,158.900100864839,Out Bound,1975 plan,0, , , ,,,,1980
13,SEGID- 4239,4239,30040070,0.05545793,Existing Bike Lane, ,89.2510571517253,Out Bound,1975 plan,0, , , ,,,,1980
14,SEGID- 3846,3846,30040085,0.03165948,Existing Bike Lane, ,50.9511093069668, ,1975 plan,0, , , ,,,,2008
15,SEGID- 2733,2733,30040090,0.06059633,Existing Bike Lane, ,97.5205300710864, ,1975 plan,0, , , ,,,,2008
16,SEGID- 2124,2124,30040100,0.06047802,Existing Bike Lane, ,97.3301238969501, ,"1975 plan, ADC rec route",0, , , ,,,,2008
17,SEGID- 12328,12328,30040110,0.07218658,Existing Bike Lane, ,116.173660426618, ,"1975 plan, ADC rec route",0, , , ,,,,2008
18,SEGID- 8867,8867,20180270,0.07376314,Climbing Lane, ,118.710513120697, ,ADC rec route,0, , , ,,,,2008
19,SEGID- 1071,1071,20180280,0.07375672,Climbing Lane, ,118.700175729646, ,ADC rec route,0, , , ,,,,2007
20,SEGID- 9615,9615,16981040,0.0583592,Cycle Track, ,93.9197610141517, ,ADC rec route,2010, , , ,,,,2010
21,SEGID- 713,713,16981045,0.07522968,Cycle Track, ,121.070999433545, ,"ADC rec route, 97 strategic transp plan",2010, , , ,,,,2010
22,SEGID- 3353,3353,20040060,0.10878582,Existing Bike Lane, ,175.074148038722,In Bound,"Sebastian planned lanes, 1975 plan",0, , , ,,,,2007
23,SEGID- 2701,2701,20040070,0.0891685,Existing Bike Lane, ,143.503076769729,In Bound,"Sebastian planned lanes, 1975 plan",0, , , ,,,,2007
24,SEGID- 4445,4445,20040080,0.07722044,Existing Bike Lane, ,124.274518037169,In Bound,1975 plan,0, , , ,,,,2007
25,SEGID- 4492,4492,20040090,0.08205888,Existing Bike Lane, ,132.061234331622,In Bound,1975 plan,0, , , ,,,,2007
26,SEGID- 8693,8693,20040100,0.08367412,Existing Bike Lane, ,134.660708446166,In Bound,1975 plan,0, , , ,,,,2007
27,SEGID- 4875,4875,20040110,0.13220976,Existing Bike Lane, ,212.771395117389,In Bound,1975 plan,0, , , ,,,,2007
